SOC,B_Vol,B_Curr
78.99997468,387.189542,-38.70017098
78.99997465,387.1861773,-38.75201871
78.99997461,387.1828195,-38.80374887
78.99997457,387.1794686,-38.85535916
78.99997453,387.1761248,-38.90684725
78.99997449,387.1727883,-38.95821076
78.99997446,387.1694591,-39.00944731
78.99997442,387.1661374,-39.06055452
78.99997438,387.1628233,-39.11153001
78.99997434,387.159517,-39.16237144
78.9999743,387.1562187,-39.21307649
78.99997426,387.1529285,-39.26364291
78.99997423,387.1496466,-39.31406848
78.99997419,387.146373,-39.36435108
78.99997415,387.143108,-39.41448863
78.99997411,387.1398517,-39.46447915
78.99997407,387.1366042,-39.51432077
78.99997403,387.1333658,-39.5640117
78.99997399,387.1301364,-39.61351183
78.99997395,387.1269164,-39.66288307
78.99997392,387.1237057,-39.71211548
78.99997388,387.1205045,-39.76119029
78.99997384,387.1173129,-39.81010657
78.9999738,387.1141335,-39.85886348
78.99997376,387.1109623,-39.90746027
78.99997372,387.1078,-39.95589629
78.99997368,387.1046477,-40.00417104
78.99997364,387.1015056,-40.05228411
78.9999736,387.0983736,-40.10023525
78.99997356,387.0952519,-40.14802433
78.99997352,387.0921404,-40.19565137
78.99997348,387.0890392,-40.24307618
78.99997344,387.0859484,-40.2903666
78.99997341,387.0828678,-40.33751263
78.99997337,387.0797977,-40.38449706
78.99997333,387.0767378,-40.43132084
78.99997329,387.0736909,-40.47798495
78.99997325,387.0706526,-40.52449046
78.99997321,387.0676234,-40.57083851
78.99997317,387.0646046,-40.61703034
78.99997313,387.0615961,-40.66306726
78.99997309,387.0585977,-40.70895069
78.99997305,387.0556094,-40.75468212
78.99997301,387.0526313,-40.80026315
78.99997297,387.049663,-40.84569541
78.99997293,387.0467047,-40.89098065
78.99997289,387.0437562,-40.93612066
78.99997285,387.0408174,-40.98111727
78.99997281,387.0378881,-41.02597238
78.99997277,387.0349684,-41.07068793
78.99997273,387.0320581,-41.11526587
78.99997269,387.029157,-41.1597082
78.99997265,387.0262651,-41.20401689
78.99997261,387.0233822,-41.24819396
78.99997256,387.0205082,-41.29224139
78.99997252,387.017643,-41.33616115
78.99997248,387.0147865,-41.3799552
78.99997244,387.0119384,-41.42362543
78.9999724,387.0090988,-41.46717374
78.99997236,387.0062675,-41.51060192
78.99997232,387.0034443,-41.55391175
78.99997228,387.0006291,-41.5971049
78.99997224,386.9978219,-41.64018299
78.9999722,386.9950224,-41.68314755
78.99997216,386.9922306,-41.726
78.99997212,386.9894463,-41.76874169
78.99997208,386.9866695,-41.81137384
78.99997203,386.9839,-41.85389759
78.99997199,386.9811377,-41.89631392
78.99997195,386.9783827,-41.93862374
78.99997191,386.9756346,-41.98082779
78.99997187,386.9728936,-42.02292672
78.99997183,386.9701595,-42.06492101
78.99997179,386.9674322,-42.10681104
78.99997175,386.9647118,-42.14859702
78.9999717,386.9619981,-42.19027907
78.99997166,386.959291,-42.23185711
78.99997162,386.9565907,-42.27333098
78.99997158,386.953897,-42.31470035
78.99997154,386.95121,-42.35596475
78.9999715,386.9485296,-42.39712359
78.99997146,386.9458558,-42.43817615
78.99997141,386.9431887,-42.47912155
78.99997137,386.9405282,-42.51995882
78.99997133,386.9378744,-42.56068685
78.99997129,386.9352274,-42.60130442
78.99997125,386.9325872,-42.64181017
78.9999712,386.9299537,-42.68220266
78.99997116,386.9273272,-42.72248035
78.99997112,386.9247077,-42.76264159
78.99997108,386.9220952,-42.80268465
78.99997104,386.9194898,-42.84260771
78.99997099,386.9168917,-42.88240889
78.99997095,386.9143009,-42.92208622
78.99997091,386.9117175,-42.96163771
78.99997087,386.9091417,-43.00106129
78.99997083,386.9065735,-43.04035486
78.99997078,386.9040131,-43.07951629
78.99997074,386.9014607,-43.11854341
78.9999707,386.8989162,-43.15743407
78.99997066,386.8963799,-43.19618608
78.99997061,386.8938519,-43.23479728
78.99997057,386.8913324,-43.2732655
78.99997053,386.8888214,-43.31158861
78.99997049,386.8863191,-43.34976451
78.99997044,386.8838257,-43.38779112
78.9999704,386.8813413,-43.42566644
78.99997036,386.878866,-43.46338848
78.99997032,386.8763999,-43.50095537
78.99997027,386.8739433,-43.53836527
78.99997023,386.8714962,-43.57561643
78.99997019,386.8690587,-43.61270719
78.99997015,386.8666311,-43.64963599
